Wafer ID,FAMILY_CODE,8_24C_Yield,22_24C_Yield,DI51_C5_M7125P125A_ST_A102_4M_Perfect,SailSM_K2_AllChains_1p25vFM_Perfect,SailSM_K2_AllChains_0p5vFM_LY,fin_res,fin_res_metric2,WETSTRIPSWPCP.1 Process Tool,PC DC10,WETSWSTRIPCTP.1 Process Tool,CT DC10,DC10
6A06F182SOF3,9S,0,0,94.4400024,94.8700027,64.8600006,N,0,DC10,1,DC09,0,1
6A05Q029SOC6,9S,0.17,0.02,97.2200012,89.7399979,94.2799988,N,0,DC11,0,DC10,1,1
6A05U136SOC4,US,0.17,0.02,88.8799973,97.4300003,97.3600006,N,0,DC09,0,DC10,1,1
6A05R020SOB6,US,0.17,0.02,94.4400024,,,N,0,DC11,0,DC09,0,0
6A05T253SOE7,US,0.17,0.02,88.8799973,92.3000031,97.2200012,M,2,DC10,1,DC11,0,1
6A05Z091SOD5,9S,0.17,0.03,77.7699966,92.3000031,94.4400024,N,1,DC09,0,DC11,0,0
6A05L301SOG7,US,0.17,0.03,80.5500031,94.8700027,100,N,0,DC10,1,DC09,0,1
65600A2FSEA6,US,0.17,0.03,91.6600037,,,N,0,DC09,0,DC09,0,0
6A067029SOD3,9S,0.17,0.03,94.4400024,84.6100006,100,N,0,DC09,0,DC09,0,0
6A04Y085SOF3,US,0.17,0.03,80.5500031,87.1699982,97.0500031,N,1,DC11,0,DC10,1,1
6A064164SOF4,US,0.17,0.03,94.4400024,89.7399979,100,N,0,DC09,0,DC10,1,1
6A06F110SOC2,9S,0.17,0.03,86.1100006,,,N,0,DC09,0,DC11,0,0
6A069203SOE6,US,0.17,0.03,97.2200012,92.3000031,100,N,0,DC11,0,DC10,1,1
65600A2CSEC6,9S,0.17,0.03,75,87.1699982,94.1100006,Y,20.125,DC09,0,DC10,1,1
6A069145SOC5,US,0.17,0.03,72.2200012,,,Y,15,DC09,0,DC11,0,0
6A064294SOD3,US,0.17,0.05,94.4400024,97.4300003,97.3600006,N,0,DC09,0,DC11,0,0
6A05X111SOC7,US,0.17,0.05,97.2200012,69.2300034,100,N,0,DC09,0,DC11,0,0
