parameter,lot_id,date,Owner
M032_40FIN_F_PU_Idsat_M1,A290X,3/3/22,SRAM
M032_40FIN_F_PU_Vtsat_M1,A290X,3/3/22,SRAM
M032_40FIN_G_PU_Idsat_M1,A290X,3/3/22,SRAM
M032_40FIN_G_PU_Vtsat_M1,A290X,3/3/22,SRAM
M032_40FIN_H_PU_Idsat_M1,A290X,3/3/22,SRAM
M032_40FIN_H_PU_Vtsat_M1,A290X,3/3/22,SRAM
M032_40FIN_I_PU_Idsat_M1,A290X,3/3/22,SRAM
M032_40FIN_I_PU_Vtsat_M1,A290X,3/3/22,SRAM
M032_40FIN_J_PU_Idsat_M1,A290X,3/3/22,SRAM
M032_40FIN_J_PU_Vtsat_M1,A290X,3/3/22,SRAM
,,,
DLW_P_LVT_30_90_DDB_4_Iodlin@0.8Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_40_100_DDB_4_Idsat@0.75V_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_70_150_DDB_4_Idlin_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_70_150_DDB_4_Iodlin@0.4Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_70_150_DDB_4_Iodlin@0.5Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_70_150_DDB_4_Iodlin@0.8Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_100_180_DDB_4_Idlin_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_100_180_DDB_4_Ihigh@0.75V_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_100_180_DDB_4_Iodlin@0.4Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_100_180_DDB_4_Iodlin@0.5Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_100_180_DDB_4_Iodlin@0.8Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_150_230_DDB_4_Idlin_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_150_230_DDB_4_Ihigh@0.75V_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.4Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.5Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.8Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_200_280_DDB_4_Idlin_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.4Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.5Vod_M1,AZD2Z,2/22/22,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.8Vod_M1,AZD2Z,2/22/22,Device
,,,
PL032S_bit_PU_R_Vtsat_M1,A290Y,2/14/22,SRAM
PL032S_SNM_M1,A290Y,2/14/22,SRAM
,,,
egncap_0.15_Cgd@Vgd=-0.1V_1M_M1,AZD35,2/13/22,Device
